Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,49441,0,210.0,318.01098557090313,30.737758000213944,12682.441337,63.62802127788677,408.417873525085,0.0,210,260,320,380,590,870,1200,1300,9400,12000,13000
GET,/io,21312,0,210.0,320.87486895096544,22.024334999969142,11687.35182699993,34.997419294294296,176.05229911544288,0.0,210,260,320,380,600,880,1200,1300,9900,12000,12000
,Aggregated,70753,0,210.0,318.8736356719006,22.024334999969142,12682.441337,55.003999830395884,584.4701726405278,0.0,210,260,320,380,590,870,1200,1300,9500,12000,13000
