Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,63277,0,110.0,153.29016954861982,21.626529000059236,16432.96462499893,63.813881821198855,522.9764203136536,0.0,110,130,140,160,200,250,350,450,12000,16000,16000
GET,/io,27293,0,110.0,152.868785371235,30.022475999430753,16384.786257998712,34.99805811013813,225.57320099910785,0.0,110,130,140,150,190,240,340,440,11000,16000,16000
,Aggregated,90570,0,110.0,153.1631866806348,21.626529000059236,16432.96462499893,55.13031909020647,748.5496213127615,0.0,110,130,140,160,200,250,350,450,12000,16000,16000
