Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,36128,0,320.0,340.00647122517273,187.2376250000798,3038.9108929998656,63.82520482728078,100.59570660011074,0.0,320,370,400,400,420,490,560,680,2900,3000,3000
GET,/io,15301,0,320.0,342.32360269622734,184.02134999996633,3400.3684219999286,34.99869289588916,42.60448700975129,0.0,320,370,400,400,420,490,570,750,2900,3100,3400
,Aggregated,51429,0,320.0,340.6958571482638,184.02134999996633,3400.3684219999286,55.24882848198487,143.20019360986203,0.0,320,370,400,400,420,490,560,690,2900,3000,3400
