Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,78074,0,50,50.51124875418124,7.100660000105563,123.69119499999215,63.65252196633963,654.5896224599535,0.0,50,51,52,53,56,60,67,72,93,120,120
GET,/io,33596,0,49,50.4699413327179,8.17469000003257,122.8654890001053,34.995148231932376,281.6762681067269,0.0,49,51,52,53,56,60,66,71,92,110,120
,Aggregated,111670,0,49,50.498821386657006,7.100660000105563,123.69119499999215,55.03093041998746,936.2658905666805,0.0,49,51,52,53,56,60,67,72,93,110,120
