Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,287649,0,580.0,590.4685375900124,174.9930559999484,6170.525333000114,63.62199069004238,763.8538913752936,0.0,580,650,690,720,800,880,990,1300,3500,3800,6200
GET,/io,123352,0,580.0,590.3730530331367,183.0040460008604,3950.778382999488,34.999181205006806,327.5620815957129,0.0,580,650,690,720,800,870,990,1200,3500,3800,4000
,Aggregated,411001,0,580.0,590.4398802119122,174.9930559999484,6170.525333000114,55.03154736849789,1091.4159729710066,0.0,580,650,690,720,800,870,990,1300,3500,3800,6200
