Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,68115,3,520.0,726.8944545225627,227.02380000009725,14514.309052000044,64.1351097408794,178.5273425083503,0.007862908720913908,520,890,930,950,1100,1400,1900,2300,4600,7400,15000
GET,/io,29150,0,520.0,728.8477919537835,461.7355860000316,7695.4136300000755,34.99811320754717,76.40126307154681,0.0,520,890,940,950,1100,1400,2000,2300,4300,7300,7700
,Aggregated,97265,3,520.0,727.4798633142198,227.02380000009725,14514.309052000044,55.40284788978564,254.92860557989712,0.007862908720913908,520,890,930,950,1100,1400,2000,2300,4400,7400,15000
