Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,227,0,48,48.10084214537882,17.089624000163894,71.79490600015015,64.15418502202643,113.8237527299089,0.0,48,49,51,51,53,55,61,67,72,72,72
GET,/io,81,0,47,46.43021509877773,15.829827000061414,64.7571090000838,34.97530864197531,40.615524101861766,0.0,47,48,49,50,52,53,55,65,65,65,65
,Aggregated,308,0,48,47.66148892857789,15.829827000061414,71.79490600015015,56.48051948051948,154.43927683177066,0.0,48,49,50,51,52,54,61,65,72,72,72
