Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,36758,0,320.0,333.2089223504285,181.1066049999681,3828.552768999998,63.816012840742154,102.25544599767758,0.0,320,380,390,400,420,430,500,530,2000,2400,3800
GET,/io,15786,0,320.0,332.28912637045437,184.61227400007374,2377.74742900001,34.997909540098824,43.9143715795021,0.0,320,380,400,400,420,430,500,530,850,2400,2400
,Aggregated,52544,0,320.0,332.93258443668327,181.1066049999681,3828.552768999998,55.15807704019488,146.16981757717969,0.0,320,380,390,400,420,430,500,530,1400,2400,3800
