Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,46589,0,74,76.24089263886312,12.208226999973704,438.7489179998738,63.77138380304363,392.2887128092214,0.0,74,82,87,91,100,110,130,150,230,370,440
GET,/io,20198,0,74,76.16752878655845,10.419172000183607,422.0580380001593,34.99702940885236,170.071206107035,0.0,74,81,87,91,100,110,130,150,240,370,420
,Aggregated,66787,0,74,76.21870564006247,10.419172000183607,438.7489179998738,55.069324868612156,562.3599189162563,0.0,74,81,87,91,100,110,130,150,230,370,440
