Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,16245,0,75,233.9683083475541,10.870088000046962,7268.409195000459,63.95198522622346,136.48234564442794,0.0,75,84,94,100,130,460,4300,4700,7300,7300,7300
GET,/io,6982,0,75,241.98742659051322,12.31571999960579,7267.765722999684,34.99871097106846,58.659263606611006,0.0,75,84,94,100,130,540,4300,4700,7300,7300,7300
,Aggregated,23227,0,75,236.3788427933427,10.870088000046962,7268.409195000459,55.24867610969992,195.14160925103891,0.0,75,84,94,100,130,490,4300,4700,7300,7300,7300
