Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,199372,0,230.0,247.5010827006112,173.81432899946958,1250.6052569997337,63.81773268061714,554.7803555005326,0.0,230,240,260,280,300,310,330,350,760,1100,1300
GET,/io,85460,0,230.0,247.5482247635616,178.71889100024418,1324.6871569999712,34.99844371635853,237.80435156930517,0.0,230,240,260,280,300,310,330,360,850,1200,1300
,Aggregated,284832,0,230.0,247.51522704078323,173.81432899946958,1324.6871569999712,55.17089371980676,792.5847070698377,0.0,230,240,260,280,300,310,330,350,770,1100,1300
