Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/compute,15979,4,590.0,772.4150120690286,135.7757649998348,7617.3157859998355,64.06477251392452,42.09802927327427,0.01053833888810921,590,730,970,1000,1200,1400,1900,2400,4400,7500,7600
GET,/io,6948,3,580.0,768.3085850119468,107.44383699989157,5115.93452499983,34.98330454807139,18.3050946486457,0.007903754166081908,580,720,970,1000,1200,1400,1900,2300,4300,5100,5100
,Aggregated,22927,7,590.0,771.1705642480017,107.44383699989157,7617.3157859998355,55.25166833864003,60.40312392191997,0.01844209305419112,590,730,970,1000,1200,1400,1900,2400,4400,7500,7600
